 TITLE = "Post Processing Tecplot"
 VARIABLES = "X", "Y", "uf"
 ZONE T="BIG ZONE", I=         130 , J=         128 , DATAPACKING=POINT
           1           1   0.00000000    
           2           1   3.61283037E-06
           3           1   1.37853203E-05
           4           1   2.58974305E-05
           5           1   3.68356777E-05
           6           1   4.46237500E-05
           7           1   4.81014104E-05
           8           1   4.66407400E-05
           9           1   3.99528071E-05
          10           1   2.79660053E-05
          11           1   1.07475071E-05
          12           1  -1.15444836E-05
          13           1  -3.86937427E-05
          14           1  -7.04474733E-05
          15           1  -1.06531515E-04
          16           1  -1.46659106E-04
          17           1  -1.90540261E-04
          18           1  -2.37885761E-04
          19           1  -2.88410927E-04
          20           1  -3.41838837E-04
          21           1  -3.97901254E-04
          22           1  -4.56340786E-04
          23           1  -5.16910572E-04
          24           1  -5.79375366E-04
          25           1  -6.43511070E-04
          26           1  -7.09104468E-04
          27           1  -7.75953173E-04
          28           1  -8.43864400E-04
          29           1  -9.12655145E-04
          30           1  -9.82150901E-04
          31           1  -1.05218496E-03
          32           1  -1.12259760E-03
          33           1  -1.19323563E-03
          34           1  -1.26395118E-03
          35           1  -1.33460062E-03
          36           1  -1.40504481E-03
          37           1  -1.47514744E-03
          38           1  -1.54477428E-03
          39           1  -1.61379343E-03
          40           1  -1.68207358E-03
          41           1  -1.74948433E-03
          42           1  -1.81589532E-03
          43           1  -1.88117661E-03
          44           1  -1.94519723E-03
          45           1  -2.00782530E-03
          46           1  -2.06892821E-03
          47           1  -2.12837174E-03
          48           1  -2.18602107E-03
          49           1  -2.24173977E-03
          50           1  -2.29539187E-03
          51           1  -2.34683906E-03
          52           1  -2.39594327E-03
          53           1  -2.44256575E-03
          54           1  -2.48656771E-03
          55           1  -2.52781203E-03
          56           1  -2.56616250E-03
          57           1  -2.60148407E-03
          58           1  -2.63364450E-03
          59           1  -2.66251457E-03
          60           1  -2.68796831E-03
          61           1  -2.70988559E-03
          62           1  -2.72815046E-03
          63           1  -2.74265441E-03
          64           1  -2.75329500E-03
          65           1  -2.75997771E-03
          66           1  -2.76261801E-03
          67           1  -2.76114000E-03
          68           1  -2.75547872E-03
          69           1  -2.74558179E-03
          70           1  -2.73140823E-03
          71           1  -2.71293055E-03
          72           1  -2.69013550E-03
          73           1  -2.66302517E-03
          74           1  -2.63161701E-03
          75           1  -2.59594433E-03
          76           1  -2.55605788E-03
          77           1  -2.51202541E-03
          78           1  -2.46393192E-03
          79           1  -2.41188146E-03
          80           1  -2.35599605E-03
          81           1  -2.29641586E-03
          82           1  -2.23329919E-03
          83           1  -2.16682302E-03
          84           1  -2.09718267E-03
          85           1  -2.02458980E-03
          86           1  -1.94927375E-03
          87           1  -1.87148002E-03
          88           1  -1.79147022E-03
          89           1  -1.70952012E-03
          90           1  -1.62591867E-03
          91           1  -1.54096819E-03
          92           1  -1.45498093E-03
          93           1  -1.36827957E-03
          94           1  -1.28119485E-03
          95           1  -1.19406369E-03
          96           1  -1.10722799E-03
          97           1  -1.02103269E-03
          98           1  -9.35824006E-04
          99           1  -8.51947523E-04
         100           1  -7.69746082E-04
         101           1  -6.89558336E-04
         102           1  -6.11716299E-04
         103           1  -5.36543783E-04
         104           1  -4.64354118E-04
         105           1  -3.95448355E-04
         106           1  -3.30113486E-04
         107           1  -2.68620322E-04
         108           1  -2.11221501E-04
         109           1  -1.58149516E-04
         110           1  -1.09615263E-04
         111           1  -6.58046774E-05
         112           1  -2.68772710E-05
         113           1   7.03655314E-06
         114           1   3.58393117E-05
         115           1   5.94690791E-05
         116           1   7.79049733E-05
         117           1   9.11729076E-05
         118           1   9.93531212E-05
         119           1   1.02590639E-04
         120           1   1.01110461E-04
         121           1   9.52376504E-05
         122           1   8.54268874E-05
         123           1   7.23059929E-05
         124           1   5.67384886E-05
         125           1   3.99131859E-05
         126           1   2.34593626E-05
         127           1   9.55711675E-06
         128           1   8.52161463E-07
         129           1   0.00000000    
         130           1   5.90157811E-07
           1           2   0.00000000    
           2           2   1.00764391E-05
           3           2   2.83868449E-05
           4           2   4.80573217E-05
           5           2   6.37079502E-05
           6           2   7.14523921E-05
           7           2   6.86536878E-05
           8           2   5.36476145E-05
           9           2   2.54934566E-05
          10           2  -1.62235392E-05
          11           2  -7.15417991E-05
          12           2  -1.40232078E-04
          13           2  -2.21876748E-04
          14           2  -3.15928599E-04
          15           2  -4.21754434E-04
          16           2  -5.38664754E-04
          17           2  -6.65938540E-04
          18           2  -8.02839524E-04
          19           2  -9.48630215E-04
          20           2  -1.10258022E-03
          21           2  -1.26397354E-03
          22           2  -1.43211370E-03
          23           2  -1.60632690E-03
          24           2  -1.78596319E-03
          25           2  -1.97039871E-03
          26           2  -2.15903553E-03
          27           2  -2.35130033E-03
          28           2  -2.54664454E-03
          29           2  -2.74454313E-03
          30           2  -2.94449320E-03
          31           2  -3.14601092E-03
          32           2  -3.34863109E-03
          33           2  -3.55190597E-03
          34           2  -3.75540066E-03
          35           2  -3.95869324E-03
          36           2  -4.16137371E-03
          37           2  -4.36303858E-03
          38           2  -4.56329156E-03
          39           2  -4.76174289E-03
          40           2  -4.95800702E-03
