 TITLE = "Post Processing Tecplot"
 VARIABLES = "X", "Y", "vf"
 ZONE T="BIG ZONE", I=         128 , J=         130 , DATAPACKING=POINT
           1           1   0.00000000    
           2           1   0.00000000    
           3           1   0.00000000    
           4           1   0.00000000    
           5           1   0.00000000    
           6           1   0.00000000    
           7           1   0.00000000    
           8           1   0.00000000    
           9           1   0.00000000    
          10           1   0.00000000    
          11           1   0.00000000    
          12           1   0.00000000    
          13           1   0.00000000    
          14           1   0.00000000    
          15           1   0.00000000    
          16           1   0.00000000    
          17           1   0.00000000    
          18           1   0.00000000    
          19           1   0.00000000    
          20           1   0.00000000    
          21           1   0.00000000    
          22           1   0.00000000    
          23           1   0.00000000    
          24           1   0.00000000    
          25           1   0.00000000    
          26           1   0.00000000    
          27           1   0.00000000    
          28           1   0.00000000    
          29           1   0.00000000    
          30           1   0.00000000    
          31           1   0.00000000    
          32           1   0.00000000    
          33           1   0.00000000    
          34           1   0.00000000    
          35           1   0.00000000    
          36           1   0.00000000    
          37           1   0.00000000    
          38           1   0.00000000    
          39           1   0.00000000    
          40           1   0.00000000    
          41           1   0.00000000    
          42           1   0.00000000    
          43           1   0.00000000    
          44           1   0.00000000    
          45           1   0.00000000    
          46           1   0.00000000    
          47           1   0.00000000    
          48           1   0.00000000    
          49           1   0.00000000    
          50           1   0.00000000    
          51           1   0.00000000    
          52           1   0.00000000    
          53           1   0.00000000    
          54           1   0.00000000    
          55           1   0.00000000    
          56           1   0.00000000    
          57           1   0.00000000    
          58           1   0.00000000    
          59           1   0.00000000    
          60           1   0.00000000    
          61           1   0.00000000    
          62           1   0.00000000    
          63           1   0.00000000    
          64           1   0.00000000    
          65           1   0.00000000    
          66           1   0.00000000    
          67           1   0.00000000    
          68           1   0.00000000    
          69           1   0.00000000    
          70           1   0.00000000    
          71           1   0.00000000    
          72           1   0.00000000    
          73           1   0.00000000    
          74           1   0.00000000    
          75           1   0.00000000    
          76           1   0.00000000    
          77           1   0.00000000    
          78           1   0.00000000    
          79           1   0.00000000    
          80           1   0.00000000    
          81           1   0.00000000    
          82           1   0.00000000    
          83           1   0.00000000    
          84           1   0.00000000    
          85           1   0.00000000    
          86           1   0.00000000    
          87           1   0.00000000    
          88           1   0.00000000    
          89           1   0.00000000    
          90           1   0.00000000    
          91           1   0.00000000    
          92           1   0.00000000    
          93           1   0.00000000    
          94           1   0.00000000    
          95           1   0.00000000    
          96           1   0.00000000    
          97           1   0.00000000    
          98           1   0.00000000    
          99           1   0.00000000    
         100           1   0.00000000    
         101           1   0.00000000    
         102           1   0.00000000    
         103           1   0.00000000    
         104           1   0.00000000    
         105           1   0.00000000    
         106           1   0.00000000    
         107           1   0.00000000    
         108           1   0.00000000    
         109           1   0.00000000    
         110           1   0.00000000    
         111           1   0.00000000    
         112           1   0.00000000    
         113           1   0.00000000    
         114           1   0.00000000    
         115           1   0.00000000    
         116           1   0.00000000    
         117           1   0.00000000    
         118           1   0.00000000    
         119           1   0.00000000    
         120           1   0.00000000    
         121           1   0.00000000    
         122           1   0.00000000    
         123           1   0.00000000    
         124           1   0.00000000    
         125           1   0.00000000    
         126           1   0.00000000    
         127           1   0.00000000    
         128           1   0.00000000    
           1           2  -3.76259959E-06
           2           2  -1.02475888E-05
           3           2  -1.21870953E-05
           4           2  -1.10135006E-05
           5           2  -7.86264172E-06
           6           2  -3.55175212E-06
           7           2   1.38751238E-06
           8           2   6.61547210E-06
           9           2   1.19154583E-05
          10           2   1.71479496E-05
          11           2   2.22228082E-05
          12           2   2.70815617E-05
          13           2   3.16874357E-05
          14           2   3.60188533E-05
          15           2   4.00643257E-05
          16           2   4.38194256E-05
          17           2   4.72851607E-05
          18           2   5.04664422E-05
          19           2   5.33705170E-05
          20           2   5.60066401E-05
          21           2   5.83851179E-05
          22           2   6.05170717E-05
          23           2   6.24135573E-05
          24           2   6.40857907E-05
          25           2   6.55448312E-05
          26           2   6.68013163E-05
          27           2   6.78653669E-05
          28           2   6.87460270E-05
          29           2   6.94523624E-05
          30           2   6.99916709E-05
          31           2   7.03715195E-05
          32           2   7.05980565E-05
          33           2   7.06767532E-05
          34           2   7.06117498E-05
          35           2   7.04072590E-05
          36           2   7.00663149E-05
          37           2   6.95915296E-05
          38           2   6.89845037E-05
          39           2   6.82463724E-05
          40           2   6.73775940E-05
          41           2   6.63785177E-05
          42           2   6.52489762E-05
          43           2   6.39887730E-05
          44           2   6.25966495E-05
          45           2   6.10717252E-05
          46           2   5.94129197E-05
          47           2   5.76189086E-05
          48           2   5.56888044E-05
          49           2   5.36221560E-05
          50           2   5.14173771E-05
          51           2   4.90740567E-05
          52           2   4.65921657E-05
          53           2   4.39718315E-05
          54           2   4.12140689E-05
          55           2   3.83192310E-05
          56           2   3.52902389E-05
          57           2   3.21285952E-05
          58           2   2.88374576E-05
          59           2   2.54207644E-05
          60           2   2.18831847E-05
          61           2   1.82306976E-05
          62           2   1.44687674E-05
          63           2   1.06044199E-05
          64           2   6.64594290E-06
          65           2   2.60260913E-06
          66           2  -1.51682002E-06
          67           2  -5.70094562E-06
          68           2  -9.93769754E-06
          69           2  -1.42149293E-05
          70           2  -1.85197823E-05
          71           2  -2.28379668E-05
          72           2  -2.71544232E-05
          73           2  -3.14533281E-05
          74           2  -3.57186800E-05
          75           2  -3.99329838E-05
          76           2  -4.40798358E-05
          77           2  -4.81411880E-05
          78           2  -5.20988251E-05
          79           2  -5.59340697E-05
          80           2  -5.96292775E-05
          81           2  -6.31661387E-05
          82           2  -6.65257394E-05
          83           2  -6.96904099E-05
          84           2  -7.26430371E-05
          85           2  -7.53659697E-05
          86           2  -7.78434114E-05
          87           2  -8.00592752E-05
          88           2  -8.19991110E-05
          89           2  -8.36497711E-05
          90           2  -8.49982971E-05
          91           2  -8.60340297E-05
          92           2  -8.67471244E-05
          93           2  -8.71295415E-05
          94           2  -8.71746379E-05
          95           2  -8.68777788E-05
          96           2  -8.62358429E-05
          97           2  -8.52476005E-05
          98           2  -8.39136992E-05
          99           2  -8.22368675E-05
         100           2  -8.02214781E-05
         101           2  -7.78737813E-05
         102           2  -7.52022243E-05
         103           2  -7.22174227E-05
         104           2  -6.89314111E-05
         105           2  -6.53583775E-05
         106           2  -6.15146128E-05
         107           2  -5.74181104E-05
         108           2  -5.30890393E-05
         109           2  -4.85494493E-05
         110           2  -4.38236202E-05
         111           2  -3.89384368E-05
         112           2  -3.39230864E-05
         113           2  -2.88099945E-05
         114           2  -2.36353626E-05
         115           2  -1.84399250E-05
         116           2  -1.32703635E-05
         117           2  -8.18113767E-06
         118           2  -3.23743552E-06
         119           2   1.48130300E-06
         120           2   5.87488421E-06
         121           2   9.81347966E-06
         122           2   1.31241550E-05
         123           2   1.55710350E-05
         124           2   1.68288916E-05
         125           2   1.64573466E-05
         126           2   1.39055337E-05
         127           2   8.70817530E-06
         128           2   8.57995815E-07
           1           3  -1.39138774E-05
           2           3  -2.85581209E-05
           3           3  -3.18577877E-05
           4           3  -2.66638963E-05
           5           3  -1.56068400E-05
           6           3  -7.53049733E-07
           7           3   1.63932655E-05
           8           3   3.47693276E-05
           9           3   5.36325315E-05
          10           3   7.24663259E-05
          11           3   9.09126757E-05
          12           3   1.08725908E-04
          13           3   1.25739578E-04
          14           3   1.41844663E-04
          15           3   1.56974726E-04
          16           3   1.71092994E-04
          17           3   1.84186152E-04
          18           3   1.96256937E-04
          19           3   2.07320336E-04
          20           3   2.17399938E-04
          21           3   2.26525386E-04
          22           3   2.34730076E-04
          23           3   2.42049704E-04
          24           3   2.48521101E-04
          25           3   2.54181505E-04
          26           3   2.59066030E-04
          27           3   2.63209484E-04
          28           3   2.66644784E-04
          29           3   2.69402168E-04
          30           3   2.71509605E-04
          31           3   2.72991922E-04
          32           3   2.73872633E-04
          33           3   2.74171063E-04
          34           3   2.73904327E-04
          35           3   2.73087091E-04
          36           3   2.71731231E-04
          37           3   2.69844575E-04
          38           3   2.67435884E-04
          39           3   2.64510134E-04
          40           3   2.61068839E-04
          41           3   2.57114822E-04
          42           3   2.52649130E-04
          43           3   2.47669668E-04
          44           3   2.42174152E-04
          45           3   2.36160486E-04
          46           3   2.29624988E-04
          47           3   2.22565184E-04
          48           3   2.14978762E-04
          49           3   2.06863217E-04
          50           3   1.98217749E-04
          51           3   1.89040555E-04
          52           3   1.79332317E-04
          53           3   1.69095321E-04
          54           3   1.58333700E-04
          55           3   1.47053739E-04
          56           3   1.35262788E-04
          57           3   1.22971862E-04
          58           3   1.10193461E-04
          59           3   9.69432585E-05
          60           3   8.32401638E-05
          61           3   6.91069945E-05
          62           3   5.45666080E-05
          63           3   3.96473697E-05
          64           3   2.43806317E-05
          65           3   8.80186235E-06
          66           3  -7.05140110E-06
          67           3  -2.31375980E-05
          68           3  -3.94136987E-05
