 title = "post processing tecplot"
 variables = "x", "y", "dxi", "dyi"
 zone t="big zone", i=         182 , j=         130 , datapacking=point
 -0.2742726     -0.1473624      0.5485451      0.2947247    
  0.2742726     -0.1473624      0.5485451      0.2947247    
  0.7853960     -0.1473624      0.4737018      0.2947247    
   1.202225     -0.1473624      0.3599571      0.2947247    
   1.506119     -0.1473624      0.2478290      0.2947247    
   1.709665     -0.1473624      0.1592630      0.2947247    
   1.838225     -0.1473624      9.7856998E-02  0.2947247    
   1.916393     -0.1473624      5.8478951E-02  0.2947247    
   1.962816     -0.1473624      3.4368038E-02  0.2947247    
   1.990000     -0.1473624      1.9999981E-02  0.2947247    
   2.010870     -0.1473624      2.1739006E-02  0.2947247    
   2.032609     -0.1473624      2.1739006E-02  0.2947247    
   2.054348     -0.1473624      2.1739006E-02  0.2947247    
   2.076087     -0.1473624      2.1739960E-02  0.2947247    
   2.097826     -0.1473624      2.1739006E-02  0.2947247    
   2.119565     -0.1473624      2.1739006E-02  0.2947247    
   2.141304     -0.1473624      2.1739006E-02  0.2947247    
   2.163043     -0.1473624      2.1739006E-02  0.2947247    
   2.184783     -0.1473624      2.1739006E-02  0.2947247    
   2.206522     -0.1473624      2.1739006E-02  0.2947247    
   2.228261     -0.1473624      2.1739006E-02  0.2947247    
   2.250000     -0.1473624      2.1739960E-02  0.2947247    
   2.271739     -0.1473624      2.1739006E-02  0.2947247    
   2.293478     -0.1473624      2.1739006E-02  0.2947247    
   2.315217     -0.1473624      2.1739006E-02  0.2947247    
   2.336957     -0.1473624      2.1739006E-02  0.2947247    
   2.358696     -0.1473624      2.1739006E-02  0.2947247    
   2.380435     -0.1473624      2.1739006E-02  0.2947247    
   2.402174     -0.1473624      2.1739006E-02  0.2947247    
   2.423913     -0.1473624      2.1739960E-02  0.2947247    
   2.445652     -0.1473624      2.1739006E-02  0.2947247    
   2.467391     -0.1473624      2.1739006E-02  0.2947247    
   2.489130     -0.1473624      2.1739006E-02  0.2947247    
   2.510870     -0.1473624      2.1739006E-02  0.2947247    
   2.532609     -0.1473624      2.1739006E-02  0.2947247    
   2.554348     -0.1473624      2.1739006E-02  0.2947247    
   2.576087     -0.1473624      2.1739960E-02  0.2947247    
   2.597826     -0.1473624      2.1739006E-02  0.2947247    
   2.619565     -0.1473624      2.1739006E-02  0.2947247    
   2.641304     -0.1473624      2.1739006E-02  0.2947247    
   2.663043     -0.1473624      2.1739006E-02  0.2947247    
   2.684783     -0.1473624      2.1739006E-02  0.2947247    
   2.706522     -0.1473624      2.1739006E-02  0.2947247    
   2.728261     -0.1473624      2.1739006E-02  0.2947247    
   2.750000     -0.1473624      2.1739960E-02  0.2947247    
   2.771739     -0.1473624      2.1739006E-02  0.2947247    
   2.793478     -0.1473624      2.1739006E-02  0.2947247    
   2.815217     -0.1473624      2.1739006E-02  0.2947247    
   2.836957     -0.1473624      2.1739006E-02  0.2947247    
   2.858696     -0.1473624      2.1739006E-02  0.2947247    
   2.880435     -0.1473624      2.1739006E-02  0.2947247    
   2.902174     -0.1473624      2.1739006E-02  0.2947247    
   2.923913     -0.1473624      2.1739960E-02  0.2947247    
   2.945652     -0.1473624      2.1739006E-02  0.2947247    
   2.967391     -0.1473624      2.1739006E-02  0.2947247    
   2.989130     -0.1473624      2.1739006E-02  0.2947247    
   3.010870     -0.1473624      2.1739006E-02  0.2947247    
   3.032609     -0.1473624      2.1739006E-02  0.2947247    
   3.054348     -0.1473624      2.1739006E-02  0.2947247    
   3.076087     -0.1473624      2.1739960E-02  0.2947247    
   3.097826     -0.1473624      2.1739006E-02  0.2947247    
   3.119565     -0.1473624      2.1739006E-02  0.2947247    
   3.141304     -0.1473624      2.1739006E-02  0.2947247    
   3.163043     -0.1473624      2.1739006E-02  0.2947247    
   3.184783     -0.1473624      2.1739006E-02  0.2947247    
   3.206522     -0.1473624      2.1739006E-02  0.2947247    
   3.228261     -0.1473624      2.1739006E-02  0.2947247    
   3.250000     -0.1473624      2.1739960E-02  0.2947247    
   3.271739     -0.1473624      2.1739006E-02  0.2947247    
   3.293478     -0.1473624      2.1739006E-02  0.2947247    
   3.315217     -0.1473624      2.1739006E-02  0.2947247    
   3.336957     -0.1473624      2.1739006E-02  0.2947247    
   3.358696     -0.1473624      2.1739006E-02  0.2947247    
   3.380435     -0.1473624      2.1739006E-02  0.2947247    
   3.402174     -0.1473624      2.1739006E-02  0.2947247    
   3.423913     -0.1473624      2.1739960E-02  0.2947247    
   3.445652     -0.1473624      2.1739006E-02  0.2947247    
   3.467391     -0.1473624      2.1739006E-02  0.2947247    
   3.489130     -0.1473624      2.1739006E-02  0.2947247    
   3.510870     -0.1473624      2.1739006E-02  0.2947247    
   3.532609     -0.1473624      2.1739006E-02  0.2947247    
   3.554348     -0.1473624      2.1739006E-02  0.2947247    
   3.576087     -0.1473624      2.1739960E-02  0.2947247    
   3.597826     -0.1473624      2.1739006E-02  0.2947247    
   3.619565     -0.1473624      2.1739006E-02  0.2947247    
   3.641304     -0.1473624      2.1739006E-02  0.2947247    
   3.663043     -0.1473624      2.1739006E-02  0.2947247    
   3.684783     -0.1473624      2.1739006E-02  0.2947247    
   3.706522     -0.1473624      2.1739006E-02  0.2947247    
   3.728261     -0.1473624      2.1739006E-02  0.2947247    
   3.750000     -0.1473624      2.1739960E-02  0.2947247    
   3.771739     -0.1473624      2.1739006E-02  0.2947247    
   3.793478     -0.1473624      2.1739006E-02  0.2947247    
   3.815217     -0.1473624      2.1739006E-02  0.2947247    
   3.836957     -0.1473624      2.1739006E-02  0.2947247    
   3.858696     -0.1473624      2.1739006E-02  0.2947247    
   3.880435     -0.1473624      2.1739006E-02  0.2947247    
   3.902174     -0.1473624      2.1739006E-02  0.2947247    
   3.923913     -0.1473624      2.1739960E-02  0.2947247    
