  CODE BEGUN..........................

  Simulation Parameters are nx, ny, dx, dy, w, errormax,tmax, dt, Re 
         130         130   7.69230770E-03   7.69230770E-03   1.79999995       9.99999997E-07   5.00000000       1.00000005E-03   100.000000    

 Initialising the domain ..........................

 Initiating Calculations ..........................

 time,  Error_x-AD,  Error_y-AD,  Error_PPE
   0.00000000       9.55655310E-07   0.00000000       9.98436008E-07
   1.00000005E-03   5.66672441E-07   1.72294676E-08   9.94885340E-07
   2.00000009E-03   8.25659299E-07   7.31088221E-08   9.96980816E-07
   3.00000003E-03   5.26662916E-07   1.04308128E-07   9.96282324E-07
   4.00000019E-03   4.11644578E-07   1.22934580E-07   9.99309123E-07
   5.00000035E-03   3.86498868E-07   1.30385160E-07   9.97446477E-07
   6.00000052E-03   9.95583832E-07   3.72529030E-07   9.92324203E-07
   7.00000068E-03   9.64850187E-07   3.42726707E-07   9.99774784E-07
   8.00000038E-03   9.29459929E-07   3.12924385E-07   9.95816663E-07
   9.00000054E-03   9.27597284E-07   2.83122063E-07   9.89064574E-07
   1.00000007E-02   9.23871994E-07   2.53319740E-07   9.99076292E-07
   1.10000009E-02   9.23871994E-07   2.29105353E-07   9.86503437E-07
   1.20000010E-02   9.05245543E-07   2.19559297E-07   9.99309123E-07
   1.30000012E-02   9.01520252E-07   2.14145985E-07   9.56701115E-07
   1.40000014E-02   9.01520252E-07   2.04250682E-07   9.76026058E-07
   1.50000015E-02   8.94069672E-07   1.90106221E-07   9.69041139E-07
   1.60000008E-02   8.79168510E-07   1.93715096E-07   9.93721187E-07
   1.70000009E-02   8.79168510E-07   2.08616257E-07   9.93721187E-07
   1.80000011E-02   8.79168510E-07   1.78813934E-07   9.99309123E-07
   1.90000013E-02   8.79168510E-07   2.08616257E-07   9.93721187E-07
   2.00000014E-02   8.79168510E-07   2.08616257E-07   9.92789865E-07
   2.10000016E-02   8.79168510E-07   1.78813934E-07   9.98377800E-07
   2.20000017E-02   8.82893801E-07   2.08616257E-07   9.98377800E-07
   2.30000019E-02   8.82893801E-07   1.78813934E-07   9.64850187E-07
   2.40000021E-02   8.79168510E-07   2.08616257E-07   9.92324203E-07
   2.50000022E-02   8.82893801E-07   2.08616257E-07   9.90927219E-07
   2.60000024E-02   8.82893801E-07   2.08616257E-07   9.82545316E-07
   2.70000026E-02   8.82893801E-07   2.38418579E-07   9.95118171E-07
   2.80000027E-02   8.90344381E-07   2.08616257E-07   9.95583832E-07
   2.90000029E-02   8.94069672E-07   2.08616257E-07   9.96515155E-07
   3.00000031E-02   9.01520252E-07   2.08616257E-07   9.98377800E-07
   3.10000032E-02   8.94069672E-07   2.38418579E-07   9.96515155E-07
   3.20000015E-02   9.01520252E-07   2.38418579E-07   9.98377800E-07
   3.29999998E-02   9.05245543E-07   2.08616257E-07   9.99309123E-07
   3.39999981E-02   9.08970833E-07   1.78813934E-07   9.98377800E-07
   3.49999964E-02   9.12696123E-07   2.08616257E-07   9.98377800E-07
   3.59999947E-02   9.16421413E-07   2.38418579E-07   9.96515155E-07
   3.69999930E-02   9.08970833E-07   2.08616257E-07   9.95583832E-07
   3.79999913E-02   9.08970833E-07   2.08616257E-07   9.92789865E-07
   3.89999896E-02   9.05245543E-07   2.08616257E-07   9.98377800E-07
   3.99999879E-02   9.05245543E-07   2.08616257E-07   9.94186848E-07
   4.09999862E-02   9.05245543E-07   2.38418579E-07   9.95118171E-07
   4.19999845E-02   9.05245543E-07   2.08616257E-07   9.96107701E-07
   4.29999828E-02   8.97794962E-07   2.38418579E-07   9.96042218E-07
   4.39999811E-02   8.97794962E-07   2.08616257E-07   9.96515155E-07
   4.49999794E-02   8.86619091E-07   2.38418579E-07   9.98610631E-07
   4.59999777E-02   8.82893801E-07   2.08616257E-07   9.96515155E-07
   4.69999760E-02   8.79168510E-07   2.08616257E-07   9.95583832E-07
   4.79999743E-02   8.75443220E-07   1.49011612E-07   9.96515155E-07
