           1   4.000000       2.500000             102          62
 
 Time  U   V  P
   100.0000     -0.3394681      0.5444558       3.537949    
   100.0050     -0.3407655      0.5421667       3.540235    
   100.0100     -0.3420041      0.5399526       3.541124    
   100.0150     -0.3432007      0.5377385       3.540363    
   100.0200     -0.3443573      0.5355167       3.538380    
   100.0250     -0.3454688      0.5332823       3.535478    
   100.0300     -0.3465323      0.5310225       3.529498    
   100.0350     -0.3475445      0.5287276       3.521760    
   100.0400     -0.3485170      0.5263867       3.513705    
   100.0450     -0.3494638      0.5239988       3.507241    
   100.0500     -0.3503930      0.5215688       3.502985    
   100.0550     -0.3513089      0.5190995       3.500437    
   100.0600     -0.3522165      0.5165911       3.499214    
   100.0650     -0.3531204      0.5140443       3.499446    
   100.0700     -0.3540185      0.5114655       3.501248    
   100.0750     -0.3549136      0.5088571       3.505278    
   100.0800     -0.3557927      0.5062309       3.510369    
   100.0850     -0.3566469      0.5035903       3.516207    
   100.0900     -0.3574667      0.5009369       3.521674    
   100.0949     -0.3582451      0.4982692       3.526438    
   100.0999     -0.3589778      0.4955852       3.530329    
   100.1049     -0.3596618      0.4928860       3.532976    
   100.1099     -0.3602957      0.4901703       3.534739    
   100.1149     -0.3608794      0.4874365       3.535860    
   100.1199     -0.3614124      0.4846885       3.536390    
   100.1249     -0.3618984      0.4818748       3.537416    
   100.1299     -0.3623375      0.4790382       3.538105    
   100.1349     -0.3627315      0.4761578       3.539040    
   100.1399     -0.3630799      0.4732357       3.540092    
   100.1449     -0.3633784      0.4702828       3.540936    
   100.1499     -0.3636226      0.4672980       3.541543    
   100.1549     -0.3638063      0.4642731       3.541880    
   100.1599     -0.3639243      0.4612106       3.541728    
   100.1649     -0.3639804      0.4581332       3.540996    
   100.1699     -0.3639758      0.4550382       3.539353    
   100.1749     -0.3639160      0.4519243       3.536998    
   100.1799     -0.3638088      0.4487926       3.534472    
   100.1849     -0.3636594      0.4456422       3.531897    
   100.1899     -0.3634717      0.4424707       3.529279    
   100.1949     -0.3632472      0.4392787       3.526867    
   100.1999     -0.3629857      0.4360676       3.524682    
   100.2049     -0.3626905      0.4328262       3.521932    
   100.2099     -0.3623747      0.4295281       3.517653    
   100.2149     -0.3620317      0.4262044       3.515232    
   100.2199     -0.3616619      0.4228501       3.512645    
   100.2249     -0.3612652      0.4194602       3.509882    
   100.2299     -0.3608454      0.4160188       3.506356    
   100.2349     -0.3604048      0.4125188       3.502457    
   100.2399     -0.3599366      0.4089720       3.499102    
   100.2449     -0.3594293      0.4053987       3.496671    
   100.2499     -0.3588761      0.4018153       3.495015    
   100.2549     -0.3582753      0.3982301       3.493795    
   100.2599     -0.3576187      0.3946310       3.491664    
   100.2649     -0.3569091      0.3910169       3.489457    
   100.2699     -0.3561518      0.3873916       3.487586    
   100.2748     -0.3553519      0.3837604       3.486172    
   100.2798     -0.3545054      0.3801000       3.483406    
   100.2848     -0.3536223      0.3764241       3.481759    
   100.2898     -0.3527046      0.3727413       3.480686    
   100.2948     -0.3517503      0.3690478       3.479445    
   100.2998     -0.3507586      0.3653406       3.478092    
   100.3048     -0.3497269      0.3616064       3.476201    
   100.3098     -0.3486606      0.3578604       3.475093    
   100.3148     -0.3475575      0.3541035       3.473952    
   100.3198     -0.3464148      0.3503338       3.472638    
   100.3248     -0.3452321      0.3465529       3.471324    
   100.3298     -0.3440095      0.3427619       3.469994    
   100.3348     -0.3427466      0.3389616       3.468593    
   100.3398     -0.3414449      0.3351530       3.467175    
   100.3448     -0.3401055      0.3313364       3.465703    
   100.3498     -0.3387303      0.3275120       3.464205    
   100.3548     -0.3373220      0.3236800       3.462713    
   100.3598     -0.3358822      0.3198389       3.461136    
   100.3648     -0.3344158      0.3159923       3.459917    
   100.3698     -0.3329221      0.3121372       3.458447    
   100.3748     -0.3314043      0.3082737       3.457122    
   100.3798     -0.3298647      0.3044033       3.456046    
   100.3848     -0.3283041      0.3005283       3.455132    
   100.3898     -0.3267216      0.2966490       3.454218    
   100.3948     -0.3251162      0.2927656       3.453335    
   100.3998     -0.3234879      0.2888791       3.452516    
   100.4048     -0.3218360      0.2849901       3.451702    
   100.4098     -0.3201599      0.2810989       3.450856    
   100.4148     -0.3184594      0.2772054       3.449992    
   100.4198     -0.3167361      0.2733105       3.449179    
   100.4248     -0.3149897      0.2694144       3.448301    
   100.4298     -0.3132221      0.2655177       3.447446    
   100.4348     -0.3114342      0.2616206       3.446573    
   100.4398     -0.3096275      0.2577237       3.445676    
   100.4448     -0.3078006      0.2538259       3.444574    
   100.4498     -0.3059594      0.2499271       3.443683    
   100.4548     -0.3041060      0.2460280       3.442815    
   100.4597     -0.3022414      0.2421295       3.441943    
   100.4647     -0.3003666      0.2382325       3.441071    
   100.4697     -0.2984812      0.2343377       3.440091    
   100.4747     -0.2965858      0.2304457       3.439053    
   100.4797     -0.2946807      0.2265567       3.437949    
   100.4847     -0.2927651      0.2226714       3.436647    
   100.4897     -0.2908406      0.2187891       3.435350    
   100.4947     -0.2889062      0.2149106       3.433837    
   100.4997     -0.2869635      0.2110352       3.432327    
   100.5047     -0.2850127      0.2071629       3.430735    
   100.5097     -0.2830546      0.2032937       3.429117    
   100.5147     -0.2810884      0.1994277       3.427334    
   100.5197     -0.2791160      0.1955642       3.425671    
   100.5247     -0.2771377      0.1917031       3.424009    
   100.5297     -0.2751516      0.1878455       3.422116    
   100.5347     -0.2731530      0.1839911       3.419621    
   100.5397     -0.2711487      0.1801355       3.417593    
   100.5447     -0.2691405      0.1762781       3.415623    
   100.5497     -0.2671278      0.1724191       3.413546    
   100.5547     -0.2651116      0.1685582       3.411613    
   100.5597     -0.2630906      0.1646957       3.409644    
   100.5647     -0.2610647      0.1608313       3.407741    
   100.5697     -0.2590328      0.1569653       3.405835    
   100.5747     -0.2569954      0.1530976       3.404012    
   100.5797     -0.2549512      0.1492282       3.402157    
   100.5847     -0.2528995      0.1453573       3.400232    
   100.5897     -0.2508433      0.1414839       3.398526    
   100.5947     -0.2487802      0.1376090       3.396647    
   100.5997     -0.2467120      0.1337321       3.394859    
   100.6047     -0.2446401      0.1298528       3.393156    
   100.6097     -0.2425651      0.1259717       3.391446    
   100.6147     -0.2404888      0.1220886       3.389858    
   100.6197     -0.2384117      0.1182043       3.388286    
   100.6247     -0.2363336      0.1143196       3.386685    
   100.6297     -0.2342561      0.1104343       3.385180    
   100.6347     -0.2321807      0.1065487       3.383750    
   100.6396     -0.2301064      0.1026643       3.382258    
   100.6446     -0.2280341      9.8781258E-02   3.380790    
   100.6496     -0.2259650      9.4899856E-02   3.379384    
   100.6546     -0.2238997      9.1020472E-02   3.377993    
   100.6596     -0.2218388      8.7144017E-02   3.376614    
   100.6646     -0.2197820      8.3271541E-02   3.375204    
   100.6696     -0.2177300      7.9403065E-02   3.373818    
   100.6746     -0.2156776      7.5543672E-02   3.372006    
   100.6796     -0.2136315      7.1686886E-02   3.370546    
   100.6846     -0.2115943      6.7832410E-02   3.369155    
   100.6896     -0.2095674      6.3980833E-02   3.367846    
   100.6946     -0.2075508      6.0134280E-02   3.366545    
   100.6996     -0.2055455      5.6292366E-02   3.365374    
   100.7046     -0.2035515      5.2455831E-02   3.364280    
   100.7096     -0.2015694      4.8625037E-02   3.363282    
   100.7146     -0.1995979      4.4801418E-02   3.362309    
   100.7196     -0.1976373      4.0984850E-02   3.361413    
   100.7246     -0.1956865      3.7176501E-02   3.360539    
   100.7296     -0.1937466      3.3375073E-02   3.359768    
   100.7346     -0.1918171      2.9581171E-02   3.359049    
   100.7396     -0.1898978      2.5795456E-02   3.358383    
   100.7446     -0.1879888      2.2017311E-02   3.357796    
   100.7496     -0.1860875      1.8250074E-02   3.357199    
   100.7546     -0.1841956      1.4490792E-02   3.356716    
   100.7596     -0.1823131      1.0739597E-02   3.356306    
   100.7646     -0.1804422      6.9945343E-03   3.356010    
   100.7696     -0.1785817      3.2571098E-03   3.355789    
   100.7746     -0.1767318     -4.7288556E-04   3.355660    
   100.7796     -0.1748930     -4.1962969E-03   3.355615    
   100.7846     -0.1730650     -7.9130372E-03   3.355639    
   100.7896     -0.1712459     -1.1621449E-02   3.355725    
   100.7946     -0.1694369     -1.5323649E-02   3.355853    
   100.7996     -0.1676370     -1.9018846E-02   3.356028    
   100.8046     -0.1658467     -2.2707775E-02   3.356232    
   100.8096     -0.1640644     -2.6389159E-02   3.356483    
   100.8146     -0.1622917     -3.0064784E-02   3.356747    
   100.8195     -0.1605286     -3.3734385E-02   3.357037    
   100.8245     -0.1587744     -3.7397187E-02   3.357359    
   100.8295     -0.1570294     -4.1053254E-02   3.357698    
   100.8345     -0.1552946     -4.4703510E-02   3.358040    
   100.8395     -0.1535708     -4.8348431E-02   3.358378    
   100.8445     -0.1518569     -5.1986050E-02   3.358740    
   100.8495     -0.1501549     -5.5618722E-02   3.359063    
   100.8545     -0.1484628     -5.9243686E-02   3.359404    
   100.8595     -0.1467833     -6.2864065E-02   3.359683    
   100.8645     -0.1451143     -6.6477023E-02   3.359963    
   100.8695     -0.1434572     -7.0084244E-02   3.360190    
   100.8745     -0.1418119     -7.3685423E-02   3.360380    
   100.8795     -0.1401791     -7.7281222E-02   3.360523    
   100.8845     -0.1385579     -8.0870382E-02   3.360625    
   100.8895     -0.1369490     -8.4453806E-02   3.360676    
   100.8945     -0.1353530     -8.8031970E-02   3.360676    
   100.8995     -0.1337684     -9.1603026E-02   3.360625    
   100.9045     -0.1321976     -9.5169730E-02   3.360529    
   100.9095     -0.1306392     -9.8729923E-02   3.360376    
   100.9145     -0.1290947     -0.1022854       3.360189    
   100.9195     -0.1275634     -0.1058350       3.359951    
   100.9245     -0.1260464     -0.1093796       3.359681    
   100.9295     -0.1245437     -0.1129189       3.359374    
   100.9345     -0.1230546     -0.1164519       3.359018    
   100.9395     -0.1215809     -0.1199804       3.358653    
   100.9445     -0.1201220     -0.1235034       3.358246    
   100.9495     -0.1186780     -0.1270208       3.357814    
   100.9545     -0.1172498     -0.1305336       3.357377    
   100.9595     -0.1158370     -0.1340405       3.356908    
   100.9645     -0.1144397     -0.1375419       3.356424    
   100.9695     -0.1130588     -0.1410387       3.355949    
   100.9745     -0.1116945     -0.1445307       3.355474    
   100.9795     -0.1103464     -0.1480170       3.354984    
   100.9845     -0.1090152     -0.1514983       3.354518    
   100.9895     -0.1077009     -0.1549749       3.354064    
   100.9945     -0.1064031     -0.1584454       3.353609    
   100.9995     -0.1051224     -0.1619109       3.353187    
   101.0044     -0.1038586     -0.1653706       3.352772    
   101.0094     -0.1026122     -0.1688252       3.352396    
   101.0144     -0.1013827     -0.1722741       3.352039    
   101.0194     -0.1001710     -0.1757181       3.351729    
   101.0244     -9.8976694E-02 -0.1791561       3.351450    
   101.0294     -9.7799785E-02 -0.1825880       3.351213    
   101.0344     -9.6641019E-02 -0.1860148       3.351031    
   101.0394     -9.5499404E-02 -0.1894344       3.350888    
   101.0444     -9.4376035E-02 -0.1928487       3.350802    
   101.0494     -9.3270622E-02 -0.1962565       3.350770    
   101.0544     -9.2183135E-02 -0.1996576       3.350796    
   101.0594     -9.1113754E-02 -0.2030519       3.350879    
   101.0644     -9.0061799E-02 -0.2064382       3.351023    
   101.0694     -8.9028515E-02 -0.2098183       3.351212    
   101.0744     -8.8012889E-02 -0.2131900       3.351481    
   101.0794     -8.7016121E-02 -0.2165551       3.351788    
   101.0844     -8.6037055E-02 -0.2199113       3.352185    
   101.0894     -8.5076258E-02 -0.2232592       3.352626    
   101.0944     -8.4133267E-02 -0.2265977       3.353142    
   101.0994     -8.3208643E-02 -0.2299277       3.353692    
   101.1044     -8.2301833E-02 -0.2332481       3.354319    
   101.1094     -8.1413470E-02 -0.2365596       3.354975    
   101.1144     -8.0543257E-02 -0.2398611       3.355711    
   101.1194     -7.9691775E-02 -0.2431533       3.356468    
   101.1244     -7.8857943E-02 -0.2464342       3.357335    
   101.1294     -7.8043081E-02 -0.2497058       3.358181    
   101.1344     -7.7246144E-02 -0.2529657       3.359131    
   101.1394     -7.6467775E-02 -0.2562152       3.360080    
   101.1444     -7.5708024E-02 -0.2594542       3.361061    
   101.1494     -7.4966848E-02 -0.2626815       3.362109    
   101.1544     -7.4244268E-02 -0.2658975       3.363179    
   101.1594     -7.3540457E-02 -0.2691021       3.364267    
   101.1644     -7.2855346E-02 -0.2722947       3.365408    
   101.1694     -7.2189450E-02 -0.2754764       3.366518    
   101.1744     -7.1542412E-02 -0.2786456       3.367713    
   101.1794     -7.0915222E-02 -0.2818044       3.368834    
   101.1843     -7.0307128E-02 -0.2849503       3.370076    
   101.1893     -6.9719143E-02 -0.2880855       3.371235    
   101.1943     -6.9150880E-02 -0.2912086       3.372469    
   101.1993     -6.8602987E-02 -0.2943206       3.373656    
   101.2043     -6.8075366E-02 -0.2974211       3.374875    
   101.2093     -6.7568392E-02 -0.3005104       3.376085    
   101.2143     -6.7081988E-02 -0.3035879       3.377319    
   101.2193     -6.6616602E-02 -0.3066549       3.378504    
   101.2243     -6.6172257E-02 -0.3097108       3.379715    
   101.2293     -6.5749042E-02 -0.3127559       3.380915    
   101.2343     -6.5346919E-02 -0.3157898       3.382138    
   101.2393     -6.4966232E-02 -0.3188134       3.383312    
   101.2443     -6.4607263E-02 -0.3218276       3.384449    
   101.2493     -6.4269714E-02 -0.3248310       3.385659    
   101.2543     -6.3953832E-02 -0.3278243       3.386829    
   101.2593     -6.3659303E-02 -0.3308069       3.388031    
   101.2643     -6.3386552E-02 -0.3337807       3.389128    
   101.2693     -6.3134953E-02 -0.3367438       3.390340    
   101.2743     -6.2904783E-02 -0.3396973       3.391479    
   101.2793     -6.2695697E-02 -0.3426404       3.392658    
   101.2843     -6.2507644E-02 -0.3455743       3.393768    
   101.2893     -6.2340584E-02 -0.3484981       3.394927    
   101.2943     -6.2194161E-02 -0.3514118       3.396089    
   101.2993     -6.2068660E-02 -0.3543163       3.397187    
   101.3043     -6.1963543E-02 -0.3572106       3.398337    
